"SalesRankID","SalesRank"
"279","615"
"280","616"
"281","617"
"282","618"
"283","620"
"284","621"
"285","622"
"286","628"
"287","631"
"288","632"
"289","637"
"290","640"
"291","643"
"292","646"
"293","648"
"294","651"
"295","653"
"296","658"
"297","663"
"298","668"
"299","683"
"300","685"
"301","686"
"302","694"
"303","696"
"304","698"
"305","705"
"306","706"
"307","708"
"308","710"
"309","715"
"310","720"
"311","723"
"312","724"
"313","725"
"314","726"
"315","727"
"316","728"
"317","729"
"318","734"
"319","736"
"320","737"
"321","740"
"322","741"
"323","742"
"324","748"
"325","753"
"326","757"
"327","761"
"328","763"
"329","767"
"330","774"
"331","777"
"332","784"
"333","787"
"334","791"
"335","792"
"336","793"
"337","795"
"338","796"
"339","797"
"340","799"
"341","803"
"342","806"
"343","808"
"344","812"
"345","817"
"346","818"
"347","827"
"348","829"
"349","832"
"350","835"
"351","841"
"352","844"
"353","845"
"354","849"
"355","859"
"356","860"
"357","867"
"358","868"
"359","869"
"360","870"
"361","872"
"362","873"
"363","874"
"364","875"
"365","879"
"366","883"
"367","885"
"368","889"
"369","890"
"370","895"
"371","896"
"372","898"
"373","904"
"374","907"
"375","909"
"376","910"
"377","911"
"378","914"
"379","919"
"380","920"
"381","922"
"382","924"
"383","926"
"384","933"
"385","936"
"386","939"
"387","941"
"388","944"
"389","946"
"390","948"
"391","953"
"392","956"
"393","959"
"394","960"
"395","962"
"396","968"
"397","971"
"398","973"
"399","974"
"400","977"
"401","979"
"402","982"
"403","985"
"404","987"
"405","990"
"406","993"
"407","996"
"408","997"
"409","999"
"410","1003"
"411","1010"
"412","1013"
"413","1015"
"414","1017"
"415","1019"
"416","1023"
"417","1026"
"418","1032"
"419","1034"
"420","1040"
"421","1042"
"422","1044"
"423","1048"
"424","1052"
"425","1054"
"426","1055"
"427","1056"
"428","1058"
"429","1062"
"430","1074"
"431","1076"
"432","1079"
"433","1087"
"434","1088"
"435","1094"
"436","1095"
"437","1096"
"438","1099"
"439","1100"
"440","1101"
"441","1104"
"442","1106"
"443","1107"
"444","1109"
"445","1111"
"446","1113"
"447","1115"
"448","1117"
"449","1118"
"450","1120"
"451","1121"
"452","1125"
"453","1126"
"454","1129"
"455","1133"
"456","1136"
"457","1140"
"458","1143"
"459","1146"
"460","1150"
"461","1151"
"462","1153"
"463","1154"
"464","1161"
"465","1164"
"466","1168"
"467","1172"
"468","1175"
"469","1178"
"470","1181"
"471","1186"
"472","1192"
"473","1195"
"474","1197"
"475","1198"
"476","1203"
"477","1206"
"478","1209"
"479","1211"
"480","1212"
"481","1216"
"482","1217"
"483","1218"
"484","1224"
"485","1227"
"486","1230"
"487","1231"
"488","1234"
"489","1235"
"490","1236"
"491","1237"
"492","1238"
"493","1239"
"494","1242"
"495","1243"
"496","1244"
"497","1245"
"498","1246"
"499","1248"
"500","1249"
"501","1252"
"502","1257"
"503","1258"
"504","1269"
"505","1271"
"506","1272"
"507","1275"
"508","1281"
"509","1286"
"510","1287"
"511","1288"
"512","1295"
"513","1299"
"514","1301"
"515","1305"
"516","1306"
"517","1319"
"518","1320"
"519","1323"
"520","1325"
"521","1332"
"522","1333"
"523","1337"
"524","1339"
"525","1342"
"526","1343"
"527","1344"
"528","1350"
"529","1354"
"530","1366"
"531","1368"
"532","1380"
"533","1384"
"534","1385"
"535","1386"
"536","1387"
"537","1394"
"538","1402"
"539","1403"
"540","1407"
"541","1418"
"542","1426"
"543","1430"
"544","1433"
"545","1443"
"546","1447"
"547","1457"
"548","1459"
"549","1464"
"550","1465"
"551","1467"
"552","1471"
"553","1476"
"554","1478"
"555","1484"
"556","1492"
"557","1494"
"558","1499"
"559","1501"
"560","1502"
"561","1503"
"562","1505"
"563","1508"
"564","1513"
"565","1514"
"566","1515"
"567","1516"
"568","1517"
"569","1519"
"570","1524"
"571","1525"
"572","1526"
"573","1530"
"574","1531"
"575","1535"
"576","1546"
"577","1551"
"578","1553"
"579","1555"
"580","1558"
"581","1560"
"582","1565"
"583","1567"
"584","1571"
"585","1575"
"586","1578"
"587","1584"
"588","1589"
"589","1593"
"590","1594"
"591","1595"
"592","1606"
"593","1610"
"594","1612"
"595","1613"
"596","1615"
"597","1624"
"598","1627"
"599","1634"
"600","1641"
"601","1646"
"602","1647"
"603","1650"
"604","1654"
"605","1655"
"606","1656"
"607","1657"
"608","1661"
"609","1665"
"610","1669"
"611","1671"
"612","1672"
"613","1677"
"614","1684"
"615","1690"
"616","1694"
"617","1695"
"618","1697"
"619","1704"
"620","1705"
"621","1711"
"622","1712"
"623","1722"
"624","1730"
"625","1733"
"626","1736"
"627","1737"
"628","1738"
"629","1747"
"630","1749"
"631","1753"
"632","1760"
"633","1762"
"634","1767"
"635","1772"
"636","1779"
"637","1781"
"638","1782"
"639","1787"
"640","1790"
"641","1804"
"642","1805"
"643","1806"
"644","1823"
