"id","SalesRank","livreID"
"408","120723","408"
"409","455450","409"
"410","212768","410"
"411","123717","411"
"412","238742","412"
"413","251866","413"
"414","212309","414"
"415","181420","415"
"416","274337","416"
"417","254280","417"
"418","248564","418"
"419","65124","419"
"420","230410","420"
"421","359370","421"
"422","508301","422"
"423","17847","423"
"424","293077","424"
"425","367190","425"
"426","166813","426"
"427","42371","427"
"428","483478","428"
"429","292271","429"
"430","168301","430"
"431","432127","431"
"432","82716","432"
"433","19650","433"
"434","168208","434"
"435","441692","435"
"436","246308","436"
"437","29328","437"
"438","176917","438"
"439","375475","439"
"440","102115","440"
"441","170137","441"
"442","146567","442"
"443","137940","443"
"444","342386","444"
"445","200056","445"
"446","221695","446"
"447","202613","447"
"448","14399","448"
"449","501492","449"
"450","284009","450"
"451","209007","451"
"452","11151","452"
"453","139458","453"
"454","389246","454"
"455","48437","455"
"456","204913","456"
"457","261447","457"
"458","100656","458"
"459","151569","459"
"460","179495","460"
"461","400307","461"
"462","130136","462"
"463","588737","463"
"464","394614","464"
"465","635823","465"
"466","105","466"
"467","13229","467"
"468","589","468"
"469","3032","469"
"470","282210","470"
"471","3183","471"
"472","19103","472"
"473","11644","473"
"474","110338","474"
"475","49780","475"
"476","90582","476"
"477","170640","477"
"478","11661","478"
"479","66548","479"
"480","3478","480"
"481","83982","481"
"482","27395","482"
"483","97238","483"
"484","77792","484"
"485","9332","485"
"486","111042","486"
"487","39524","487"
"488","191475","488"
"489","82753","489"
"490","9666","490"
"491","111376","491"
"492","108818","492"
"493","225169","493"
"494","3510","494"
"495","46442","495"
"496","232219","496"
"497","19180","497"
"498","27893","498"
"499","23475","499"
"500","121261","500"
"501","173377","501"
"502","13908","502"
"503","205844","503"
"504","8869","504"
"505","188273","505"
"506","104807","506"
"507","34848","507"
"508","158143","508"
"509","164361","509"
"510","480051","510"
"511","8228","511"
"512","150630","512"
"513","295079","513"
"514","28801","514"
"515","147937","515"
"516","175781","516"
"517","152251","517"
"518","605845","518"
"519","129322","519"
"520","387143","520"
"521","225497","521"
"522","177594","522"
"523","21284","523"
"524","276958","524"
"525","63940","525"
"526","225139","526"
"527","125933","527"
"528","214680","528"
"529","173702","529"
"530","283257","530"
"531","493757","531"
"532","539485","532"
"533","78591","533"
"534","263688","534"
"535","32341","535"
"536","72048","536"
"537","235739","537"
"538","223331","538"
"539","295569","539"
"540","247859","540"
"541","24437","541"
"542","72796","542"
"543","512663","543"
"544","163349","544"
"545","48406","545"
"546","168730","546"
"547","215229","547"
"548","668728","548"
"549","189500","549"
"550","42200","550"
"551","360708","551"
"552","157303","552"
"553","388191","553"
"554","322736","554"
"555","117601","555"
"556","350289","556"
"557","458235","557"
"558","8502","558"
"559","211360","559"
"560","142990","560"
"561","560365","561"
"562","241395","562"
"563","253112","563"
"564","1287","564"
"565","77051","565"
"566","12197","566"
"567","720","567"
"568","6461","568"
"569","580","569"
"570","4952","570"
"571","23598","571"
"572","2453","572"
"573","17228","573"
"574","3897","574"
"575","1003","575"
"576","3348","576"
"577","582374","577"
"578","3882","578"
"579","168910","579"
"580","131915","580"
"581","12854","581"
"582","1879","582"
"583","163568","583"
"584","6701","584"
"585","22951","585"
"586","1299","586"
"587","101706","587"
"588","6261","588"
"589","189573","589"
"590","5489","590"
"591","86689","591"
"592","245","592"
"593","585081","593"
"594","28528","594"
"595","3905","595"
"596","15720","596"
"597","23074","597"
"598","19061","598"
"599","8071","599"
"600","9758","600"
"601","83792","601"
"602","23443","602"
"603","208444","603"
"604","527790","604"
"605","68835","605"
"606","67839","606"
"607","188934","607"
"608","38187","608"
"609","21010","609"
"610","13727","610"
"611","191869","611"
"612","26713","612"
"613","85899","613"
"614","91511","614"
"615","29416","615"
"616","81903","616"
"617","29671","617"
"618","56915","618"
"619","603021","619"
"620","121346","620"
"621","13728","621"
"622","603008","622"
"623","25845","623"
"624","107987","624"
"625","28204","625"
"626","163633","626"
"627","12902","627"
"628","6048","628"
"629","58807","629"
"630","34002","630"
"631","21249","631"
"632","41597","632"
"633","179659","633"
"634","131691","634"
"635","4644","635"
"636","5100","636"
"637","6145","637"
"638","52895","638"
"639","8803","639"
"640","155147","640"
"641","103244","641"
"642","28468","642"
"643","3708","643"
"644","31467","644"
"645","6977","645"
"646","274706","646"
"647","2185","647"
"648","47569","648"
"649","29831","649"
"650","10826","650"
"651","21589","651"
"652","68063","652"
"653","3929","653"
"654","184669","654"
"655","30607","655"
"656","8945","656"
"657","27495","657"
"658","80887","658"
"659","119438","659"
"660","6517","660"
"661","624734","661"
"662","39339","662"
"663","304","663"
"664","4656","664"
"665","3064","665"
"666","1825","666"
"667","567929","667"
"668","565019","668"
"669","566818","669"
"670","8367","670"
"671","595","671"
"672","8867","672"
"673","5374","673"
"674","6823","674"
"675","25127","675"
"676","159851","676"
"677","960","677"
"678","184493","678"
"679","189041","679"
"680","5349","680"
"681","4","681"
"682","195090","682"
"683","15984","683"
"684","64435","684"
"685","41396","685"
"686","123770","686"
"687","643","687"
"688","6954","688"
"689","102641","689"
"690","10339","690"
"691","11747","691"
"692","32818","692"
"693","10901","693"
"694","15953","694"
"695","127291","695"
"696","8570","696"
"697","74405","697"
"698","6260","698"
"699","4382","699"
"700","18576","700"
"701","66429","701"
"702","14366","702"
"703","40070","703"
"704","31279","704"
"705","5125","705"
"706","576156","706"
"707","66415","707"
"708","32650","708"
"709","9067","709"
"710","14397","710"
"711","17716","711"
"712","9773","712"
"713","11689","713"
"714","560063","714"
"715","188110","715"
"716","12588","716"
"717","20299","717"
"718","100864","718"
"719","33493","719"
"720","15744","720"
"721","66830","721"
"722","11330","722"
"723","179604","723"
"724","152577","724"
"725","47152","725"
"726","148639","726"
"727","10310","727"
"728","176035","728"
"729","147941","729"
"730","149188","730"
"731","99216","731"
"732","308309","732"
"733","188762","733"
"734","20825","734"
"735","232033","735"
"736","248910","736"
"737","5481","737"
"738","231118","738"
"739","47619","739"
"740","4504","740"
"741","10898","741"
"742","133771","742"
"743","220237","743"
"744","15450","744"
"745","20691","745"
"746","19298","746"
"747","20910","747"
"748","48425","748"
"749","971143","749"
"750","711914","750"
"751","490625","751"
"752","473937","752"
"753","1319756","753"
"754","919513","754"
"755","0","755"
"756","0","756"
"757","0","757"
"758","2496404","758"
"759","0","759"
"760","0","760"
"761","2194097","761"
"762","0","762"
"763","2043087","763"
"764","0","764"
"765","1323671","765"
"766","0","766"
"767","0","767"
