"id","NoeudNom","livreID"
"10407","Custom Stores","4878"
"10409","Custom Stores","4879"
"10411","Custom Stores","4880"
"10413","Custom Stores","4881"
"10415","Custom Stores","4882"
"10417","Custom Stores","4883"
"10419","Custom Stores","4884"
"10421","Custom Stores","4885"
"10423","Custom Stores","4886"
"10425","Custom Stores","4887"
"10427","Cinéma international","4888"
"10428","Custom Stores","4889"
"10430","Custom Stores","4890"
"10432","Art figuratif","4891"
"10433","Custom Stores","4892"
"10435","Folio","4893"
"10436","Larousse","4894"
"10437","Custom Stores","4895"
"10439","Custom Stores","4896"
"10441","Custom Stores","4897"
"10443","Custom Stores","4898"
"10445","Brochés (grands formats)","4899"
"10446","Custom Stores","4900"
"10448","Custom Stores","4901"
"10450","Larousse","4902"
"10451","Custom Stores","4903"
"10453","Custom Stores","4904"
"10455","Custom Stores","4905"
"10457","Custom Stores","4906"
"10459","Folio","4907"
"10460","Custom Stores","4908"
"10462","Custom Stores","4909"
"10464","Larousse","4910"
"10465","Custom Stores","4911"
"10467","Brochés (grands formats)","4912"
"10468","Histoire de l'art","4913"
"10470","Collection : Pour les nuls","4914"
"10471","Custom Stores","4915"
"10473","Custom Stores","4916"
"10475","Custom Stores","4917"
"10477","Custom Stores","4918"
"10479","Custom Stores","4919"
"10481","Custom Stores","4920"
"10483","Art","4921"
"10484","Chercher au Coeur!","4922"
"10485","Custom Stores","4923"
"10487","Folio","4924"
"10488","Custom Stores","4925"
"10490","Custom Stores","4926"
"10492","Custom Stores","4927"
"10494","Essais, documents et biographies","4928"
"10495","Custom Stores","4929"
"10497","Custom Stores","4930"
"10499","Custom Stores","4931"
"10501","Folio","4932"
"10502","Custom Stores","4933"
"10504","Folio","4934"
"10505","Custom Stores","4935"
"10507","Folio","4936"
"10508","Custom Stores","4937"
"10510","Custom Stores","4938"
"10512","Custom Stores","4939"
"10514","Le Clézio, Jean-Marie Gustave","4940"
"10515","Littérature et romans","4941"
"10516","Folio","4942"
"10517","Custom Stores","4943"
"10519","Folio","4944"
"10520","Custom Stores","4945"
"10522","Custom Stores","4946"
"10524","Custom Stores","4947"
"10526","Custom Stores","4948"
"10528","Custom Stores","4949"
"10530","Custom Stores","4950"
"10532","Custom Stores","4951"
"10534","Custom Stores","4952"
"10536","Custom Stores","4953"
"10538","Custom Stores","4954"
"10540","Folio","4955"
"10541","Custom Stores","4956"
"10543","Custom Stores","4957"
"10545","Custom Stores","4958"
"10547","Custom Stores","4959"
"10549","Brochés (grands formats)","4960"
"10550","Custom Stores","4961"
"10552","Custom Stores","4962"
"10554","Custom Stores","4963"
"10556","Custom Stores","4964"
"10558","Custom Stores","4965"
"10560","Custom Stores","4966"
"10562","Custom Stores","4967"
"10564","Custom Stores","4968"
"10566","Custom Stores","4969"
"10568","Custom Stores","4970"
"10570","Custom Stores","4971"
"10572","Custom Stores","4972"
"10574","Custom Stores","4973"
"10576","Custom Stores","4974"
"10578","Custom Stores","4975"
"10580","Custom Stores","4976"
"10582","Custom Stores","4977"
"10584","Custom Stores","4978"
"10586","Brochés (grands formats)","4979"
"10587","Custom Stores","4980"
"10589","Custom Stores","4981"
"10591","Custom Stores","4982"
"10593","Custom Stores","4983"
"10595","Custom Stores","4984"
"10597","Custom Stores","4985"
"10599","Custom Stores","4986"
"10601","Custom Stores","4987"
"10603","Custom Stores","4988"
"10605","Custom Stores","4989"
"10607","Folio","4990"
"10608","Folio","4991"
"10609","Folio","4992"
"10610","Custom Stores","4993"
"10612","Custom Stores","4994"
"10614","Custom Stores","4995"
"10616","Chercher au Coeur!","4996"
"10617","Custom Stores","4997"
"10619","Custom Stores","4998"
"10621","Folio","4999"
"10622","Custom Stores","5000"
"10624","Plus de livres d'art","5001"
"10625","Custom Stores","5002"
"10627","Custom Stores","5003"
