"id","NbrePages10ID","livreID"
"639","41","639"
"640","27","640"
"641","17","641"
"642","34","642"
"643","38","643"
"644","11","644"
"645","26","645"
"646","133","646"
"647","28","647"
"648","25","648"
"649","35","649"
"650","39","650"
"651","35","651"
"652","22","652"
"653","73","653"
"654","28","654"
"655","15","655"
"656","61","656"
"657","33","657"
"658","23","658"
"659","12","659"
"660","26","660"
"661","5","661"
"662","17","662"
"663","22","663"
"664","30","664"
"665","29","665"
"666","20","666"
"667","43","667"
"668","50","668"
"669","45","669"
"670","49","670"
"671","28","671"
"672","42","672"
"673","19","673"
"674","18","674"
"675","32","675"
"676","31","676"
"677","206","677"
"678","14","678"
"679","36","679"
"680","22","680"
"681","35","681"
"682","28","682"
"683","55","683"
"684","103","684"
"685","27","685"
"686","38","686"
"687","204","687"
"688","15","688"
"689","120","689"
"690","36","690"
"691","63","691"
"692","62","692"
"693","19","693"
"694","14","694"
"695","35","695"
"696","17","696"
"697","31","697"
"698","14","698"
"699","28","699"
"700","64","700"
"701","84","701"
"702","31","702"
"703","31","703"
"704","49","704"
"705","23","705"
"706","20","706"
"707","15","707"
"708","35","708"
"709","23","709"
"710","75","710"
"711","50","711"
"712","23","712"
"713","19","713"
"714","81","714"
"715","15","715"
"716","23","716"
"717","35","717"
"718","63","718"
"719","46","719"
"720","49","720"
"721","68","721"
"722","46","722"
"723","25","723"
"724","57","724"
"725","123","725"
"726","177","726"
"727","20","727"
"728","43","728"
"729","124","729"
"730","47","730"
"731","78","731"
"732","63","732"
"733","20","733"
"734","17","734"
"735","38","735"
"736","14","736"
"737","13","737"
"738","23","738"
"739","17","739"
"740","41","740"
"741","46","741"
"742","21","742"
"743","49","743"
"744","25","744"
"745","22","745"
"746","38","746"
"747","75","747"
"748","46","748"
"749","16","749"
"750","44","750"
"751","40","751"
"752","27","752"
"753","32","753"
"754","18","754"
"755","23","755"
"756","117","756"
"757","21","757"
"758","41","758"
"759","33","759"
"760","33","760"
"761","11","761"
"762","17","762"
"763","22","763"
"764","40","764"
"765","40","765"
"766","4","766"
"767","13","767"
"768","52","768"
"769","1","769"
"770","27","770"
"771","31","771"
"772","11","772"
"773","32","773"
"774","36","774"
"775","64","775"
"776","23","776"
"777","65","777"
"778","32","778"
"779","52","779"
"780","33","780"
"781","76","781"
"782","39","782"
"783","46","783"
"784","59","784"
"785","45","785"
"786","29","786"
"787","38","787"
"788","65","788"
"789","33","789"
"790","41","790"
"791","27","791"
"792","50","792"
"793","46","793"
"794","55","794"
"795","71","795"
"796","45","796"
"797","48","797"
"798","31","798"
"799","40","799"
"800","38","800"
"801","35","801"
"802","10","802"
"803","68","803"
"804","33","804"
"805","73","805"
"806","49","806"
"807","38","807"
"808","66","808"
"809","32","809"
"810","24","810"
"811","30","811"
"812","40","812"
"813","45","813"
"814","36","814"
"815","33","815"
"816","39","816"
"817","52","817"
"818","39","818"
"819","46","819"
"820","46","820"
"821","37","821"
"822","45","822"
"823","31","823"
"824","55","824"
"825","23","825"
"826","44","826"
"827","53","827"
"828","25","828"
"829","38","829"
"830","48","830"
"831","27","831"
"832","43","832"
"833","23","833"
"834","42","834"
"835","37","835"
"836","37","836"
"837","32","837"
"838","55","838"
"839","16","839"
"840","32","840"
"841","30","841"
"842","39","842"
"843","46","843"
"844","25","844"
"845","44","845"
"846","30","846"
"847","37","847"
"848","33","848"
"849","42","849"
"850","27","850"
"851","33","851"
"852","47","852"
"853","38","853"
"854","39","854"
"855","45","855"
"856","13","856"
"857","23","857"
"858","23","858"
"859","46","859"
"860","22","860"
"861","54","861"
"862","27","862"
"863","75","863"
"864","7","864"
"865","18","865"
"866","23","866"
"867","39","867"
"868","30","868"
"869","28","869"
"870","59","870"
"871","43","871"
"872","55","872"
"873","9","873"
"874","73","874"
"875","10","875"
"876","36","876"
"877","42","877"
"878","34","878"
"879","17","879"
"880","15","880"
"881","35","881"
"882","46","882"
"883","34","883"
"884","25","884"
"885","38","885"
"886","29","886"
"887","39","887"
"888","43","888"
"889","36","889"
"890","19","890"
"891","41","891"
"892","26","892"
"893","48","893"
"894","63","894"
"895","25","895"
"896","28","896"
"897","15","897"
"898","35","898"
"899","35","899"
"900","40","900"
"901","31","901"
"902","23","902"
"903","33","903"
"904","29","904"
"905","28","905"
"906","32","906"
"907","79","907"
"908","1","908"
"909","44","909"
"910","45","910"
"911","43","911"
"912","51","912"
"913","20","913"
"914","27","914"
"915","20","915"
"916","18","916"
"917","39","917"
"918","17","918"
"919","35","919"
"920","35","920"
"921","15","921"
"922","11","922"
"923","21","923"
"924","20","924"
"925","27","925"
"926","1","926"
"927","1","927"
"928","23","928"
"929","31","929"
