"createurID","createur"
"4471","Ben McMillan"
"3037","Ben Newmark"
"2241","Ben Queen"
"3528","Ben Queen"
"1126","Ben Richards"
"3648","Ben Richards"
"2517","Ben Robbins"
"3343","Ben Roberts"
"5165","Ben Roberts"
"2525","Ben Shelton"
"1348","Ben Silverman"
"4624","Ben Sinclair"
"2944","Ben Watkins (II)"
"1727","Ben Wexler"
"5195","Ben Wexler"
"1488","Ben Wolfinsohn"
"649","Bénédicte Laplace"
"3572","Bénédicte Laplace"
"4676","Benjamin Brand"
"4495","Benjamin Charbit"
"2835","Benjamin d'Aoust"
"5206","Benjamin Depierrois"
"2560","Benjamin Dupas"
"2099","Benjamin Kuffuor"
"2850","Benjamin Law"
"2903","Benjamin Parent"
"2515","Benjamin Renner"
"2422","Benjamin Ross"
"5030","Benjamin Roy"
"3337","Bennie R. Richburg Jr"
"3089","Benny Boom"
"2487","Benoit Chartier"
"4118","Benoît Labannièrre"
"1859","Benoit Lamouche"
"4905","Benoit Lamouche"
"1622","Bentley Kyle Evans"
"1763","Bernadette Davis"
"3503","Bernard Fein"
"749","Bernard Kouchner"
"2421","Bernard L. Kowalski"
"161","Bernard Lechowick"
"4782","Bernard Lechowick"
"4855","Bernard Marié"
"1611","Bernard Zukerman"
"3361","Bernie Kukoff"
"3368","Bernie West"
"4622","Bert Tyler-Moore"
"1740","Bert V. Royal"
"5204","Bert Van Dael"
"647","Bertrand Cohen"
"4943","Bertrand Cohen"
"2471","Bess Wohl"
"2285","Beth Howard"
"295","Beth Sullivan"
"2973","Beth Szymkowski"
"138","Betsy Borns"
"1480","Betsy Thomas"
"3365","Betty Corday"
"1725","Bevan Lee"
"2396","Bill Burr"
"324","Bill Chais"
"3863","Bill Chais"
"4864","Bill Clark"
"4415","Bill Collage"
"1098","Bill Cosby"
"3431","Bill Cosby"
"1935","Bill Daly"
"572","Bill Dial"
"2684","Bill Dubuque"
"692","Bill Finger"
"3376","Bill Finger"
"428","Bill Gallagher"
"4808","Bill Guttentag"
"4499","Bill Hader"
"1661","Bill Kopp"
"1482","Bill Kunstler"
"2592","Bill La Mond"
"1582","Bill Laurin"
"85","Bill Lawrence"
"3328","Bill Lawrence"
"58","Bill Martin"
"2797","Bill Motz"
"575","Bill Nuss"
"141","Bill Oakley"
"667","Bill Prady"
"2473","Bill Wrubel"
"3517","Billy Brown"
"2162","Billy Crystal"
"2715","Billy Ray"
"5158","Billy Ray"
"2829","Billy Ray Cyrus"
"4964","Billy Riback"
"2295","Bjarne Mädel"
"3223","Björn Carlström"
"4488","Björn Stein"
"4954","Blake Anderson"
"4497","Blake Crouch"
"1190","Blake Edwards"
"3456","Blake Hunter"
"520","Blake Masters"
"1960","Blake McCormick"
"2139","Blanche Gardin"
"1722","Bo Burnham"
"1808","Bob Baker"
"500","Bob Booker"
"2206","Bob Brush"
"3770","Bob Carrau"
"3760","Bob Carroll Jr."
"4946","Bob Carroll Jr."
"3865","Bob Cooper"
"5101","Bob Daily"
"707","Bob Ellison"
"1310","Bob Fisher (VII)"
"4004","Bob Fisher (VII)"
"1024","Bob Goodman"
"299","Bob Kane"
"3569","Bob Kane"
"334","Bob Kushell"
"4469","Bob Kushell"
"208","Bob Lowry"
"1765","Bob Martin"
"4718","Bob Mortimer"
"3824","Bob Mosher"
"2521","Bob Odenkirk"
"4521","Bob Odenkirk"
"1876","Bob Ross"
"4580","Bob Roth"
"3821","Bob Schiller"
"4595","Bob Schooley"
"1218","Bob Weiskopf"
"43","Bob Young"
"3622","Bob Young"
"5129","Bob Young"
"4696","Bobby Bowman"
"2262","Bobby Moresco"
"3501","Bobby Moresco"
"1090","Bobs Gannaway"
"2549","Bogdan Miric?"
"3945","Bonnie MacBird"
"3","Bonnie Turner"
"3388","Bonnie Turner"
"1209","Bora Dagtekin"
"920","Bora Daðtekin"
"4121","Boris Starling"
"717","Boudjemaa Dahmane"
"2618","Boyce Bugliari"
"2936","Brad Ableson"
"4044","Brad Bell"
"4108","Brad Bredeweg"
"254","Brad Buckner"
"3011","Brad Copeland"
"4960","Brad Copeland"
"1597","Brad Falchuk"
"3671","Brad Falchuk"
"128","Brad Hall"
"3701","Brad Markowitz"
"5153","Brad Meltzer"
"3176","Brad Simpson"
"59","Brad Wright"
"319","Bragi Schut"
"3245","Brandon Camp"
"3167","Brandon Vietti"
"2689","Brandy Norwood"
"93","Brannon Braga"
"1641","Breckin Meyer"
"46","Brenda Hampton"
"3775","Brenda Hampton"
"3705","Brendan Countee"
"1646","Brendan O'Carroll"
"2893","Breno Silveira"
"1388","Brent Butt"
"4639","Brent Piaskoski"
"1752","Brent Simons"
"4036","Brent Simons"
"3446","Brent V. Friedman"
"2362","Bret Easton Ellis"
"4879","Bret McKenzie"
"1103","Brett Dewey"
"3203","Brett Johnson (II)"
"4524","Brett Mahoney"
"3849","Brian Avenet-Bradley"
"2453","Brian Bradley"
"3758","Brian Bradley"
"245","Brian Clemens"
"1595","Brian Cooke"
"3808","Brian Cooke"
"5156","Brian Cooke"
"1158","Brian Cosgrove"
"4569","Brian Donovan (II)"
"1659","Brian Fillis"
"2030","Brian Gallivan"
"4689","Brian Gallivan"
"992","Brian Grant"
"2937","Brian Grazer"
"4556","Brian Grazer"
"5117","Brian K. Roberts"
"3333","Brian Koppelman"
"1766","Brian McGreevy"
"3201","Brian Suskind"
"286","Brian W. Cook"
"2887","Brian Wood"
"3145","Brian Wysol"
"2710","Brian Yorkey"
"1746","Brice Duan"
"3975","Brice Homs"
"2368","Bridget Carpenter"
"405","Bridget Dobson"
"1998","Bridget Tyler"
"747","Brigitte Bako"
"2086","Brigitte Grésy"
"4120","Brigitte Peskine"
"3070","Brillante Mendoza"
"4443","Brit Marling"
"602","Brooke Burgess"
"2294","Brooke Eikmeier"
"1639","Bruce C. McKenna"
"2002","Bruce Eric Kaplan"
"257","Bruce Geller"
"1858","Bruce Graham"
"374","Bruce Helford"
"3267","Bruce Helford"
"4813","Bruce Helford"
"4835","Bruce Lansbury"
"661","Bruce McCulloch"
"2900","Bruce Miller"
"4437","Bruce Miller"
"1604","Bruce Paltrow"
"4836","Bruce Rasmussen"
"2366","Bruce Timm"
"3717","Bruce Timm"
"5164","Bruce Timm"
"4597","Bruce W. Smith"
"1180","Bruce Wagner"
"984","Bruno Bianchi"
"4395","Bruno Dega"
"4992","Bruno Dega"
"4035","Bruno Deville"
"2175","Bruno Dumont"
"2324","Bruno Garcia"
"4845","Bruno Heller"
"491","Bruno Lavaine"
"1497","Bruno Mathé"
"4514","Bruno Muschio"
"1608","Bruno Nahon"
"3756","Bruno Nicolini"
"762","Bruno Petit"
"232","Bruno Solo"
"1207","Bryan Elsley"
"145","Bryan Fuller"
"3307","Bryan Fuller"
"3718","Bryan Konietzko"
"4012","Bryan Moore"
"2252","Bryan Shukoff"
"1690","Bryan Sipe"
"3920","Bryan Wynbrandt"
"445","Bryce Zabel"
"697","Buck Henry"
"807","Buichi Terasawa"
"2537","Burton Armus"
"1035","Butch Hartman"
"3744","Butch Hartman"
"1729","Byron Balasco"
"2610","C.H. Greenblatt"
"2376","Caitlin Barlow"
"2263","Caitlin Moran"
"3326","Cal Coons"
"1794","Callie Khouri"
"4093","Calum deHartog"
"2327","Cameron Crowe"
"3041","Cameron Dallas"
"2939","Cameron Esposito"
"4596","Cameron Esposito"
"2027","Cameron Porsandeh"
"2891","Cami Delavigne"
"1918","Camilo Cano"
"1200","Cao Hamburger"
"1247","Carine Hazan"
"4426","Carl Joos"
"1097","Carl Kleinschmitt"
"1152","Carl Reiner"
"3027","Carla Kettner"
"2121","Carlo Bernard"
"4554","Carlo Bernard"
"5034","Carlo Bernard"
"939","Carlo de Boutiny"
"2881","Carlos Contreras"
"2317","Carlos Portugal"
"262","Carlton Cuse"
"4339","Carlton Cuse"
"4625","Carly Mensch"
"4828","Carmen Finestra"
"1047","Carol Barbee"
"3488","Carol Black"
"3448","Carol Flint"
"4316","Carol Gannaway"
"4806","Carol Mendelsohn"
"3764","Carol-Ann Willering"
"857","Caroline Aherne"
"2792","Caroline Dries"
"567","Caroline Graham"
"3739","Caroline Ip"
"949","Caroline Lawrence"
"4292","Caroline Moran"
"3796","Caroline Stanton"
"659","Caroline Williams (II)"
"5149","Carolyn Clifford-Taylor"
"883","Carolyn Newman"
"3964","Carrie Ann Inaba"
"5032","Carrie Beck"
"3957","Carrie Brownstein"
"2930","Carson D. Mell"
"1997","Carter Bays"
"4708","Cary Brokaw"
"3850","Casey Johnson"
"4284","Casey Wilson"
"1603","Castille Landon"
"4362","Cate Freedman"
"4394","Catharina Ledeboer"
"3843","Catherine Johnson ( II )"
"5","Catherine LePard"
"2882","Catherine Reitman"
"3589","Catherine Touzet"
"820","Cathy Verney"
"4602","Cathy Verney"
"1974","Cathy Yuspa"
"3473","Cathy Yuspa"
"5033","Cathy Yuspa"
"660","Cecelia Ahern"
"535","Cécile Berger"
"1887","Cécile Gérardin"
"2363","Cédric Le Gallo"
"3043","Cedric The Entertainer"
"3987","Cedric The Entertainer"
"2933","Céline Guyot"
"3530","Céline Guyot"
"2645","Cesar Charlone"
"515","Chad Hodge"
"1309","Chad Kultgen"
"4202","Chad Kultgen"
"4838","Channing Gibson"
"2788","Charise Castro Smith"
"4733","Charles Bail"
"1654","Charles Brabant"
"477","Charles Grant Craig"
"3298","Charles H. Eglee"
"1410","Charles Hoffman"
"4724","Charles Holland"
"1071","Charles Marquis Warren"
"3161","Charles McKeown"
"584","Charles Pratt Jr."
"3499","Charles Pratt Jr."
"1050","Charles Randolph"
"4533","Charles Rogers (II)"
"4716","Charles Van Tieghem"
"4975","Charles Waterstreet"
"922","Charlie Brooker"
"4436","Charlie Cohen"
"3109","Charlie Cooper"
"1790","Charlie Grandy"
"4563","Charlie Grandy"
"1285","Charlie Huston"
"2122","Charlie Kaufman"
"4269","Charlie Siskel"
"4981","Charline De Lepine"
"703","Charlotte des Georges"
"3064","Charlotte Jones"
"4539","Charlotte Newhouse"
"4109","Charlotte Pailleux"
"2904","Chase Palmer"
"2199","Cheo Hodari Coker"
"1984","Cheryl Heuton"
"3331","Cheryl Heuton"
"2069","Cheryl Holliday"
"4591","Chinaka Hodge"
"2580","Chip Hall"
"1956","Chloe Moss"
"2436","Chris Abbott"
"2051","Chris Addison"
"487","Chris Alberghini"
"2063","Chris Black"
"2225","Chris Bran"
"175","Chris Brancato"
"3845","Chris Brancato"
"332","Chris Carter"
"1360","Chris Case"
"4210","Chris Casper Kelly"
"1875","Chris Chibnall"
"3867","Chris Chibnall"
"2902","Chris Cluess"
"4084","Chris Collins (V)"
"4714","Chris Cullari"
"801","Chris Downey"
"2209","Chris Fedak"
"3547","Chris Fedak"
"356","Chris Gerolmo"
"808","Chris Gifford"
"2702","Chris Haddock"
"4162","Chris Harris"
"3282","Chris Henchy"
"5020","Chris Henchy"
