"SerieID","id_allocine","titre_fr","titre_vo","poster","synopsis"
"7117","11547","WarpZone Project","WarpZone Project","http://fr.web.img3.acsta.net/medias/nmedia/18/94/17/10/20308443.jpg","Et si les auteurs étaient en réalité les véritables Historiens de ce monde ? Et si les pouvoirs décrits dans leurs ?uvres étaient tous accessibles, mais que l'école et les médias nous mentaient pour nous persuader qu'ils n'existaient pas ? Tout cela parce qu'il deviendrait difficile de gérer plusieurs..."
"7118","11551","Garage Bar","Garage Bar","http://fr.web.img4.acsta.net/medias/nmedia/18/94/25/31/20314016.jpg","Les aventures d'un groupe d'amis découvrant les hauts et les bas de la célébrité quand l'un d'entre eux devient une pop star du jour au lendemain..."
"7119","11553","Sorciers VS Aliens","Wizards vs Aliens","http://fr.web.img5.acsta.net/medias/nmedia/18/94/63/21/20343962.jpg","Le jeune sorcier Tom Clarke et son meilleur ami Benny défendent la planète Terre de l'invasion d'extraterrestres, baptisés les Nekross. Ceux-ci veulent s'emparer de la dernière source de magie de l?Univers. Mais les deux adolescents n'ont pas l'intention de les laisser faire..."
"7120","11554","Life Of Crime","Life Of Crime","http://fr.web.img4.acsta.net/pictures/17/01/06/13/02/423318.jpg","Les enquêtes d'une policière qui traque le meurtrier d'une adolescente de 15 ans. L'intrigue de la série se décomposera en 3 parties : en 1985 lorsque cette femme découvre le corps, puis les difficultés dans la vie professionnelle et personnelle de celle-ci en 1997 et 2013."
"7121","11555","Vicious","Vicious","http://fr.web.img2.acsta.net/medias/nmedia/18/94/59/81/20540769.jpg","Les aventures d'un couple gay vivant à Londres dans le quartier de Covent Garden."
"7122","11558","The Marvelous Misadventures of Flapjack","The Marvelous Misadventures of Flapjack","http://fr.web.img6.acsta.net/medias/nmedia/18/94/30/93/20318661.jpg",NULL
"7123","11559","Le Passager","Le Passager","http://fr.web.img2.acsta.net/pictures/15/11/04/15/34/314094.jpg","Mathias Freire, un psychiatre qui n'a plus de goût pour son travail reçoit un nouveau client ayant perdu la mémoire du jour au lendemain. Il s'avère que cet homme a été retrouvé proche d'une scène de crime bestiale. Peu à peu, Mathias se retrouve en ce patient et commence à se poser des questions. Est-il..."
"7124","11561","Rick et Morty","Rick and Morty","http://fr.web.img1.acsta.net/medias/nmedia/18/94/33/06/20320273.jpg","Un brillant inventeur et son petit fils un peu à l'Ouest partent à l'aventure..."
"7125","11563","Le Pacte","Pagten","http://fr.web.img5.acsta.net/medias/nmedia/18/94/35/17/20321629.jpg","Malte appartient au monde des humains, Lyda, à celui des elfes. Ce sont deux enfants chargés d?une mission : sauver le peuple des elfes. La méchante sorcière Iselin a le pouvoir de les transformer en glace, ce dont elle ne se prive pas. Seul un pacte secret entre un être humain et un elfe peut l?empêcher..."
"7126","11565","Sensitive Skin (CA)","Sensitive Skin (CA)","http://fr.web.img1.acsta.net/pictures/16/04/13/14/53/458042.jpg","La crise de la cinquantaine d'une femme mariée, mère, qui redécouvre sa sexualité et questionne les choix qu'elle a faits dans sa vie..."
"7127","11570","Tribes","Tribes","http://fr.web.img4.acsta.net/medias/nmedia/18/94/36/98/20323358.jpg","Avant de se passer la bague au doigt, Oliver et Kelli ne connaissaient pas l'adage Quand vous épousez quelqu'un, vous épousez également sa famille..."
"7128","11571","FAC OFF","FAC OFF","http://fr.web.img2.acsta.net/medias/nmedia/18/94/37/25/20323665.jpg","City, Sex and Fun ! telle est la devise de cette bande de sept étudiants déjantés et attachants. Inscrits en première année de fac, ils sont réfractaires à toute forme d?autorité et les études sont loin d?être leur préoccupation majeure !"
