"id","type","id_allocine"
"239","Long-métrage","5280"
"240","Long-métrage","1621"
"241","Long-métrage","46117"
"242","Long-métrage","35973"
"243","Long-métrage","983"
"244","Long-métrage","8488"
"245","Long-métrage","28541"
"246","Long-métrage","89957"
"247","Long-métrage","772"
"248","Long-métrage","12551"
"249","Long-métrage","111643"
"250","Long-métrage","50409"
"251","Long-métrage","28201"
"252","Long-métrage","9684"
"253","Long-métrage","773"
"254","Long-métrage","228263"
"255","Long-métrage","13892"
"256","Long-métrage","26251"
"257","Long-métrage","2495"
"258","Long-métrage","108917"
"259","Long-métrage","43986"
"260","Long-métrage","37412"
"261","Long-métrage","52715"
"262","Long-métrage","29718"
"263","Long-métrage","15829"
"264","Long-métrage","13665"
"265","Long-métrage","89979"
