"id","annee_sortie","filmID"
"189","1956","291"
"190","2010","292"
"191","1973","293"
"192","1972","294"
"193","1979","295"
"194","1972","296"
"195","1972","298"
"196","1974","299"
"197","1976","300"
"198","1977","301"
"199","1978","302"
"200","1980","303"
"201","1982","304"
"202","1983","305"
"203","1984","306"
"204","1985","307"
"205","1946","309"
"206","2016","310"
"207","1947","311"
"208","2005","312"
"209","1974","314"
"210","1972","315"
"211","1976","320"
"212","2004","323"
"213","1966","324"
"214","1957","326"
"215","1932","332"
"216","1967","334"
"217","1994","336"
"218","1982","337"
"219","0","338"
"220","1987","339"
"221","1987","341"
"222","1984","346"
"223","1947","347"
"224","1936","348"
"225","1934","349"
"226","1985","353"
"227","2016","362"
"228","1992","363"
"229","1963","364"
"230","1992","367"
"231","2013","368"
"232","2012","371"
"233","1967","372"
"234","1985","377"
"235","2004","378"
"236","1992","379"
"237","1998","380"
"238","1937","381"
"239","1950","383"
"240","1939","385"
"241","1964","387"
"242","2013","393"
"243","1956","394"
"244","1981","395"
"245","1987","396"
"246","2017","397"
"247","1973","399"
"248","1979","401"
"249","1970","402"
"250","1947","403"
"251","1947","404"
"252","1958","408"
"253","2003","409"
"254","1985","410"
"255","0","414"
"256","1958","416"
"257","1937","417"
"258","1959","419"
"259","1985","427"
"260","1985","428"
"261","1957","433"
"262","1931","436"
"263","1949","438"
"264","1939","439"
"265","1975","440"
"266","1970","442"
"267","1992","443"
"268","1992","444"
"269","2015","450"
"270","1971","452"
"271","1938","453"
"272","1987","454"
"273","1974","455"
"274","1978","456"
"275","2001","457"
"276","1985","459"
"277","1947","460"
"278","1951","465"
"279","1952","466"
"280","1982","473"
"281","1942","476"
"282","1946","477"
"283","1978","478"
"284","1983","480"
"285","1980","482"
"286","1983","483"
"287","1985","484"
"288","2013","485"
"289","2012","486"
"290","1964","487"
"291","1985","490"
"292","1986","491"
"293","1985","495"
"294","1938","496"
"295","1993","497"
"296","1984","500"
"297","1972","501"
"298","1985","502"
"299","1985","504"
"300","1974","510"
"301","1985","513"
"302","1985","520"
"303","1974","523"
"304","1981","524"
"305","0","529"
"306","1982","530"
"307","1961","532"
"308","1960","534"
"309","1945","536"
"310","1964","537"
"311","1983","542"
"312","1998","543"
"313","1950","544"
"314","1969","548"
"315","1998","549"
"316","1955","553"
"317","2017","554"
"318","1979","555"
"319","1960","556"
"320","1983","558"
"321","1987","559"
"322","2006","560"
"323","1951","561"
"324","1936","562"
"325","1982","564"
"326","1982","568"
"327","2003","569"
"328","1998","573"
"329","2006","576"
"330","2005","577"
"331","1985","583"
"332","1958","584"
"333","1981","587"
"334","1947","588"
"335","1985","591"
"336","1949","594"
"337","1947","595"
"338","1998","600"
"339","1973","603"
"340","1982","604"
"341","1993","605"
"342","1998","607"
"343","1982","615"
"344","1946","618"
"345","1952","619"
"346","2012","620"
"347","2002","621"
"348","1992","623"
"349","1974","629"
"350","1972","631"
"351","1992","634"
"352","0","638"
"353","2015","639"
"354","2002","643"
"355","1960","646"
"356","1947","649"
"357","1998","651"
"358","1991","652"
"359","1979","653"
"360","1998","656"
"361","1984","658"
"362","1982","659"
"363","1983","660"
"364","1974","662"
"365","1951","664"
"366","1961","665"
"367","1985","667"
"368","1972","668"
"369","1921","672"
"370","1975","673"
"371","1982","678"
"372","1982","680"
"373","2002","681"
"374","2011","683"
"375","1980","685"
"376","2005","686"
"377","1948","690"
"378","1994","691"
"379","2005","692"
"380","1971","696"
"381","1985","697"
"382","1979","698"
"383","1978","701"
"384","1960","705"
"385","1954","706"
"386","2016","707"
"387","1952","708"
"388","1956","709"
"389","2004","714"
"390","2015","718"
"391","1984","719"
"392","2011","723"
"393","1973","727"
"394","2016","728"
"395","2014","730"
"396","1980","733"
"397","2015","736"
"398","2015","737"
"399","2015","738"
"400","1974","742"
"401","2006","744"
"402","1946","752"
"403","2004","755"
"404","2001","756"
"405","0","757"
"406","1978","759"
"407","1983","760"
"408","1981","763"
"409","1984","764"
"410","1982","765"
"411","1987","766"
"412","2015","768"
"413","0","772"
"414","2006","782"
"415","1959","786"
"416","1950","787"
"417","2013","788"
"418","1955","789"
"419","2005","790"
"420","2013","791"
"421","1979","792"
"422","1982","793"
"423","1978","794"
"424","1983","795"
"425","1982","796"
"426","1973","798"
"427","1981","800"
"428","1981","801"
"429","2007","805"
"430","1983","808"
"431","1964","809"
"432","1983","810"
"433","1982","812"
"434","2012","819"
"435","1985","820"
"436","1984","823"
"437","1953","825"
"438","1964","829"
"439","1956","830"
"440","1999","833"
"441","1947","835"
"442","1985","837"
"443","1955","839"
"444","1955","840"
"445","1992","844"
"446","1982","845"
"447","1992","847"
"448","1985","848"
"449","1985","849"
"450","0","850"
"451","1992","851"
"452","1999","852"
"453","1948","854"
"454","2001","855"
"455","1985","863"
"456","1962","867"
"457","1985","868"
"458","1955","869"
"459","1985","870"
"460","1985","873"
"461","1982","874"
"462","1981","875"
"463","1981","878"
"464","1954","880"
"465","1945","886"
"466","1949","889"
"467","1947","890"
"468","1960","891"
"469","1958","892"
"470","2017","893"
"471","1954","895"
"472","2016","897"
"473","1981","902"
"474","1973","908"
"475","1985","910"
"476","1985","912"
"477","1951","916"
"478","1970","917"
"479","1970","918"
"480","1965","924"
"481","1950","925"
"482","2016","931"
"483","2013","933"
"484","1979","937"
"485","1998","939"
"486","1967","940"
"487","1999","943"
"488","1984","947"
"489","1983","948"
"490","1984","951"
"491","1958","953"
"492","1986","954"
"493","1986","955"
"494","1979","956"
"495","1984","957"
"496","0","963"
"497","1977","964"
"498","1974","969"
"499","1962","971"
"500","0","972"
"501","1977","973"
"502","1989","976"
"503","0","977"
"504","1971","987"
"505","1966","988"
"506","2013","989"
"507","1979","990"
"508","1961","992"
"509","1986","996"
"510","1947","1008"
"511","2015","1009"
"512","1980","1010"
"513","1983","1011"
"514","1947","1012"
"515","0","1013"
"516","1980","1016"
"517","2009","1017"
"518","1974","1018"
"519","1992","1020"
"520","2014","1021"
"521","1939","1023"
"522","1976","1026"
"523","1986","1027"
"524","1963","1033"
"525","1970","1038"
"526","1947","1039"
"527","1934","1040"
"528","1982","1041"
"529","0","1044"
"530","0","1045"
"531","1969","1046"
"532","1970","1047"
"533","2015","1060"
"534","1985","1064"
"535","1979","1065"
"536","1985","1066"
"537","1973","1067"
"538","1974","1068"
"539","1981","1069"
"540","1984","1070"
"541","2016","1077"
"542","2001","1078"
"543","1946","1080"
"544","2009","1082"
"545","1947","1083"
"546","1974","1087"
"547","2014","1088"
"548","2000","1089"
"549","1982","1094"
"550","1968","1096"
"551","2009","1097"
"552","1966","1098"
"553","1978","1100"
"554","1986","1105"
"555","1971","1109"
"556","1972","1110"
"557","1975","1113"
"558","1981","1114"
"559","1971","1116"
"560","1966","1121"
"561","1981","1125"
"562","1930","1126"
"563","1967","1127"
"564","1986","1130"
"565","1969","1131"
"566","1953","1133"
"567","1975","1134"
"568","2005","1136"
"569","1984","1139"
"570","2015","1142"
"571","1979","1144"
"572","1992","1145"
"573","2002","1148"
"574","1986","1149"
"575","2008","1155"
"576","2005","1163"
"577","1981","1164"
"578","2017","1165"
"579","1965","1166"
"580","2012","1167"
"581","1956","1169"
"582","1981","1172"
"583","2017","1174"
"584","1992","1176"
"585","1982","1177"
"586","1970","1178"
"587","1981","1179"
"588","1967","1181"
"589","1953","1183"
"590","2015","1186"
"591","1957","1191"
"592","1999","1193"
"593","2017","1202"
"594","2013","1203"
"595","1985","1204"
"596","1983","1206"
"597","2015","1208"
"598","1915","1209"
"599","2005","1210"
"600","1947","1213"
"601","0","1218"
"602","1977","1222"
"603","1968","1228"
"604","2000","1230"
"605","1982","1231"
"606","1982","1232"
"607","1966","1235"
"608","2015","1236"
"609","2014","1238"
"610","0","1243"
"611","1987","1247"
"612","1986","1249"
"613","2014","1250"
"614","1964","1262"
"615","2014","1263"
"616","2003","1269"
"617","0","1275"
"618","1979","1278"
"619","1975","1279"
"620","1982","1280"
"621","1980","1281"
"622","2009","1282"
"623","1975","1284"
"624","1974","1285"
"625","1984","1289"
"626","1977","1290"
"627","1981","1293"
"628","1953","1295"
"629","1986","1297"
"630","1934","1298"
"631","1986","1299"
"632","1994","1302"
"633","2015","1303"
"634","1950","1313"
"635","1957","1315"
"636","2005","1316"
"637","1952","1317"
"638","0","1318"
"639","1982","1321"
"640","2016","1322"
"641","1986","1333"
"642","1986","1334"
"643","1946","1335"
"644","1949","1336"
"645","0","1337"
"646","1928","1340"
"647","1957","1342"
"648","1960","1343"
"649","1984","1345"
"650","2017","1347"
"651","2017","1348"
"652","1957","1349"
"653","1986","1351"
"654","1959","1352"
"655","1957","1353"
"656","1979","1355"
"657","1983","1356"
"658","1983","1358"
"659","1976","1359"
"660","2006","1364"
"661","1955","1365"
"662","1972","1366"
"663","0","1367"
"664","1983","1381"
"665","1947","1383"
"666","1951","1388"
"667","2016","1392"
"668","1987","1398"
"669","1992","1400"
"670","2015","1403"
"671","1993","1404"
"672","1986","1409"
"673","1980","1412"
"674","2007","1415"
"675","1981","1428"
"676","1986","1430"
"677","1972","1433"
"678","1986","1436"
"679","1961","1438"
"680","1978","1445"
"681","2001","1446"
"682","1944","1448"
"683","1953","1449"
"684","1983","1454"
"685","1979","1456"
"686","0","1459"
"687","1999","1460"
"688","2006","1461"
"689","2006","1462"
"690","1969","1465"
"691","1961","1466"
"692","1958","1467"
"693","1960","1469"
"694","1992","1473"
"695","1935","1476"
"696","1981","1481"
"697","1977","1482"
"698","0","1487"
"699","2017","1488"
"700","1963","1491"
"701","1981","1495"
"702","1963","1497"
"703","0","1498"
"704","1981","1502"
"705","1980","1503"
"706","1992","1505"
"707","1992","1506"
"708","1992","1507"
"709","1992","1508"
"710","2014","1510"
"711","1986","1511"
"712","1986","1512"
"713","1975","1516"
"714","1995","1517"
"715","2017","1518"
"716","1981","1519"
"717","1986","1521"
"718","1936","1523"
"719","1981","1526"
"720","1986","1527"
"721","1980","1531"
"722","1946","1532"
"723","1986","1533"
"724","1979","1534"
"725","1986","1535"
"726","1985","1536"
"727","1965","1537"
"728","2013","1538"
"729","1971","1539"
"730","2016","1541"
"731","2017","1544"
"732","1947","1545"
"733","0","1546"
"734","1967","1547"
"735","0","1548"
"736","1976","1553"
"737","1936","1554"
"738","1937","1555"
"739","1939","1556"
"740","1934","1562"
"741","0","1565"
"742","1982","1572"
"743","1958","1573"
"744","1986","1574"
"745","2007","1575"
"746","1975","1590"
"747","1983","1591"
"748","1982","1592"
"749","2003","1594"
"750","1980","1595"
"751","1948","1598"
"752","1955","1601"
"753","1960","1604"
"754","1992","1608"
"755","1992","1610"
"756","1993","1611"
"757","1965","1616"
"758","1999","1619"
"759","1986","1623"
"760","1947","1624"
"761","0","1627"
"762","1998","1629"
"763","1960","1635"
"764","1991","1636"
"765","1998","1637"
"766","0","1638"
"767","2006","1646"
"768","2008","1648"
"769","1986","1649"
"770","2009","1650"
"771","2003","1652"
"772","1984","1656"
"773","1964","1658"
"774","1955","1659"
"775","1956","1660"
"776","1963","1661"
"777","1998","1662"
"778","1983","1672"
"779","1982","1673"
"780","2017","1676"
"781","1919","1679"
"782","1982","1683"
"783","1982","1684"
"784","1986","1685"
"785","2007","1693"
"786","1992","1699"
"787","1982","1700"
"788","2015","1703"
"789","1977","1708"
"790","2006","1710"
"791","1973","1711"
"792","1983","1712"
"793","1958","1714"
"794","1964","1723"
"795","1961","1724"
"796","1969","1725"
"797","1986","1726"
"798","1984","1734"
"799","1982","1742"
"800","1982","1748"
"801","1974","1749"
"802","2011","1751"
"803","1986","1752"
"804","1986","1753"
"805","1997","1760"
"806","1983","1761"
"807","1975","1765"
"808","1976","1770"
"809","1986","1773"
"810","2003","1777"
"811","1974","1778"
"812","2016","1779"
"813","1986","1780"
"814","1986","1781"
"815","1991","1788"
"816","1991","1789"
"817","1991","1790"
"818","1986","1791"
"819","1986","1793"
"820","1986","1794"
"821","1983","1795"
"822","1986","1796"
"823","1986","1797"
"824","1986","1803"
"825","1986","1809"
"826","1980","1812"
"827","1945","1816"
"828","1972","1819"
"829","1986","1821"
"830","1986","1824"
"831","1991","1825"
"832","1986","1827"
"833","1960","1828"
"834","1932","1830"
"835","1966","1834"
"836","1955","1838"
"837","1986","1839"
"838","2011","1840"
"839","1946","1841"
"840","2016","1846"
"841","1952","1847"
"842","1935","1848"
"843","1968","1850"
"844","1967","1852"
"845","1966","1853"
"846","1986","1854"
"847","1978","1855"
"848","0","1856"
"849","1965","1857"
"850","1960","1858"
"851","1943","1860"
"852","1947","1861"
"853","2006","1866"
"854","1922","1867"
"855","1976","1868"
"856","0","1869"
"857","1972","1871"
"858","2017","1874"
"859","1997","1878"
"860","2015","1879"
"861","0","1881"
"862","1976","1882"
"863","1983","1886"
"864","2005","1894"
"865","2013","1895"
"866","1938","1896"
"867","1986","1898"
"868","1984","1901"
"869","2012","1902"
"870","1977","1904"
"871","2003","1909"
"872","1982","1910"
"873","1958","1914"
"874","2001","1915"
"875","1967","1918"
"876","1986","1921"
"877","1949","1922"
"878","2005","1923"
"879","0","1924"
"880","1945","1925"
"881","1952","1926"
"882","1931","1928"
"883","2005","1929"
"884","1925","1932"
"885","1999","1956"
"886","1986","1958"
"887","0","1960"
"888","1952","1962"
"889","1933","1963"
"890","1934","1964"
"891","0","1966"
"892","2013","1970"
"893","2013","1979"
"894","1956","1984"
"895","1986","1986"
"896","1958","1987"
"897","1986","1988"
"898","1986","1989"
"899","1986","1992"
"900","1986","1993"
"901","2013","1994"
"902","1963","1999"
"903","1982","2000"
"904","1977","2002"
"905","2017","2003"
"906","1998","2005"
"907","1970","2009"
"908","1981","2010"
"909","1983","2011"
"910","1981","2014"
"911","1938","2015"
"912","1986","2016"
"913","2012","2022"
"914","1967","2024"
"915","0","2025"
"916","1955","2026"
"917","1943","2027"
"918","1963","2031"
"919","1937","2037"
"920","1974","2040"
"921","1986","2046"
"922","1948","2047"
"923","1977","2051"
"924","2001","2052"
"925","2017","2053"
"926","2017","2054"
"927","2017","2056"
"928","2017","2057"
"929","1987","2071"
"930","1987","2072"
"931","1980","2073"
"932","1996","2074"
"933","0","2076"
"934","1987","2078"
"935","2003","2079"
"936","1987","2082"
"937","1987","2083"
"938","1946","2087"
"939","1938","2088"
"940","1941","2089"
"941","1947","2090"
"942","1937","2091"
"943","1987","2094"
"944","1987","2095"
"945","1970","2097"
"946","1962","2098"
"947","1987","2099"
"948","1969","2100"
"949","2001","2102"
"950","1987","2109"
"951","1987","2112"
"952","1982","2114"
"953","1940","2115"
"954","1987","2118"
"955","1987","2123"
"956","2012","2125"
"957","1996","2129"
"958","1987","2131"
"959","2008","2132"
"960","2015","2134"
"961","1987","2135"
"962","1998","2138"
"963","1953","2139"
"964","1987","2142"
"965","2009","2149"
"966","1982","2150"
"967","2017","2151"
"968","1980","2153"
"969","1982","2158"
"970","2006","2159"
"971","1987","2160"
"972","2015","2161"
"973","1987","2163"
"974","1976","2165"
"975","1936","2166"
"976","1955","2167"
"977","1987","2168"
"978","2005","2171"
"979","1965","2172"
"980","1953","2176"
"981","1987","2179"
"982","1983","2181"
"983","1987","2183"
"984","1949","2185"
"985","1987","2187"
"986","1967","2188"
"987","1987","2189"
"988","1987","2190"
"989","1952","2194"
"990","2008","2196"
"991","1987","2199"
"992","1987","2200"
"993","1987","2202"
"994","1959","2203"
"995","1987","2205"
"996","1938","2206"
"997","1931","2207"
"998","1983","2208"
"999","1977","2210"
"1000","1957","2211"
"1001","2015","2212"
"1002","2003","2213"
"1003","1974","2216"
"1004","1949","2217"
"1005","1938","2221"
"1006","2016","2224"
"1007","1958","2226"
"1008","1953","2227"
"1009","1959","2231"
"1010","2012","2233"
"1011","1987","2235"
"1012","1947","2238"
"1013","1975","2240"
"1014","1987","2242"
"1015","1972","2247"
"1016","1940","2248"
"1017","1987","2249"
"1018","1987","2250"
"1019","1947","2253"
"1020","1987","2254"
"1021","1987","2257"
"1022","2001","2258"
"1023","1979","2259"
"1024","1970","2261"
"1025","2012","2265"
"1026","1949","2266"
"1027","1950","2267"
"1028","2005","2269"
"1029","1942","2270"
"1030","1953","2271"
"1031","1987","2282"
"1032","1987","2284"
"1033","1946","2286"
"1034","2007","2287"
"1035","1987","2289"
"1036","1987","2290"
"1037","2004","2294"
"1038","1941","2295"
"1039","1966","2303"
"1040","1984","2304"
"1041","1978","2305"
"1042","1977","2313"
"1043","1987","2315"
"1044","1951","2316"
"1045","1987","2322"
"1046","1942","2323"
"1047","1947","2326"
"1048","0","2327"
"1049","1949","2328"
"1050","1987","2329"
"1051","1988","2330"
"1052","1987","2331"
"1053","1962","2332"
"1054","1941","2335"
"1055","0","2336"
"1056","1964","2337"
"1057","0","2341"
"1058","1947","2342"
"1059","1987","2343"
"1060","1939","2344"
"1061","1954","2351"
"1062","1980","2353"
"1063","2013","2354"
"1064","1954","2355"
"1065","1967","2361"
"1066","1987","2363"
"1067","1948","2364"
"1068","0","2365"
"1069","2011","2367"
"1070","1987","2387"
"1071","1966","2388"
"1072","1962","2389"
"1073","1961","2390"
"1074","1962","2393"
"1075","1980","2402"
"1076","1977","2404"
"1077","1925","2409"
"1078","2003","2412"
"1079","1968","2416"
"1080","1993","2420"
"1081","2004","2421"
"1082","1978","2428"
"1083","1976","2430"
"1084","1999","2431"
"1085","1993","2432"
"1086","2015","2433"
"1087","1976","2436"
"1088","1961","2440"
"1089","1967","2443"
"1090","1988","2449"
"1091","1926","2467"
"1092","1943","2483"
"1093","1964","2490"
"1094","1941","2493"
"1095","2008","2495"
"1096","1994","2497"
"1097","1977","2499"
"1098","2014","2500"
"1099","1948","2506"
"1100","1979","2510"
"1101","2012","2516"
"1102","1987","2523"
"1103","1987","2524"
"1104","1987","2525"
"1105","2002","2526"
"1106","1958","2527"
"1107","1978","2529"
"1108","1923","2530"
"1109","1973","2543"
"1110","0","2546"
"1111","0","2549"
"1112","1938","2552"
"1113","1984","2555"
"1114","1977","2557"
"1115","1977","2558"
"1116","1933","2560"
"1117","1938","2562"
"1118","2009","2564"
"1119","2010","2566"
"1120","1988","2568"
"1121","1957","2578"
"1122","2017","2585"
"1123","1972","2589"
"1124","1988","2591"
"1125","1953","2595"
"1126","1974","2597"
"1127","1953","2599"
"1128","2015","2600"
"1129","1938","2603"
"1130","1950","2605"
"1131","1957","2606"
"1132","1988","2608"
"1133","1951","2609"
"1134","1937","2611"
"1135","1938","2612"
"1136","1948","2613"
"1137","1959","2614"
"1138","1943","2615"
"1139","1948","2617"
"1140","1936","2618"
"1141","1938","2620"
"1142","1943","2621"
"1143","1963","2622"
"1144","2012","2624"
"1145","2015","2626"
"1146","1946","2628"
"1147","1957","2630"
"1148","1972","2632"
"1149","1988","2638"
"1150","2007","2652"
"1151","1954","2655"
"1152","1988","2657"
"1153","1988","2664"
"1154","1963","2665"
"1155","1961","2666"
"1156","2001","2668"
"1157","1959","2671"
"1158","1955","2672"
"1159","1981","2674"
"1160","1988","2679"
"1161","1993","2681"
"1162","2012","2683"
"1163","1945","2684"
"1164","1984","2685"
"1165","1946","2692"
"1166","2006","2698"
"1167","1988","2710"
"1168","1993","2719"
"1169","0","2721"
"1170","1950","2743"
"1171","1988","2747"
"1172","1998","2751"
"1173","2016","2753"
"1174","1969","2765"
"1175","1952","2771"
"1176","1988","2782"
"1177","1962","2785"
"1178","2014","2787"
"1179","2005","2792"
"1180","1977","2794"
"1181","1988","2801"
"1182","1946","2804"
"1183","1965","2810"
"1184","1962","2811"
"1185","2007","2813"
"1186","1947","2815"
"1187","1949","2818"
"1188","1988","2819"
"1189","1966","2820"
"1190","1948","2821"
"1191","1988","2822"
"1192","1967","2824"
"1193","1988","2825"
"1194","1945","2827"
"1195","1969","2829"
"1196","1948","2830"
"1197","1969","2835"
"1198","1977","2837"
"1199","1963","2839"
"1200","2000","2845"
"1201","1993","2846"
"1202","1972","2848"
"1203","0","2850"
"1204","2014","2851"
"1205","1982","2856"
"1206","1984","2860"
"1207","1990","2862"
"1208","1988","2864"
"1209","1951","2866"
"1210","1976","2871"
"1211","1993","2872"
"1212","2004","2878"
"1213","1962","2885"
"1214","2008","2892"
"1215","1993","2893"
"1216","2014","2894"
"1217","1989","2895"
"1218","1989","2897"
"1219","1967","2901"
"1220","1983","2905"
"1221","1993","2908"
"1222","1977","2910"
"1223","1989","2913"
"1224","1989","2914"
"1225","0","2915"
"1226","2015","2916"
"1227","0","2917"
"1228","1971","2918"
"1229","1993","2919"
"1230","2017","2920"
"1231","1987","2921"
"1232","2006","2922"
"1233","1972","2923"
"1234","2006","2925"
"1235","2013","2926"
"1236","1960","2930"
"1237","1989","2936"
"1238","1989","2937"
"1239","1993","2938"
"1240","2005","2945"
"1241","0","2954"
"1242","1960","2955"
"1243","1971","2956"
"1244","2003","2958"
"1245","2015","2959"
"1246","1935","2961"
"1247","2017","2963"
"1248","1982","2969"
"1249","0","2970"
"1250","2005","2971"
"1251","1966","2976"
"1252","2002","2984"
"1253","1975","2985"
"1254","1933","2989"
"1255","1976","2991"
"1256","1989","2993"
"1257","2013","2996"
"1258","1989","2997"
"1259","1991","2998"
"1260","2000","2999"
"1261","1982","3005"
"1262","1989","3011"
"1263","1989","3012"
"1264","1989","3015"
"1265","2017","3016"
"1266","1961","3024"
"1267","1989","3031"
"1268","1970","3032"
"1269","1978","3035"
"1270","1989","3041"
"1271","1962","3046"
"1272","1989","3048"
"1273","1989","3049"
"1274","1983","3061"
"1275","1989","3063"
"1276","2015","3064"
"1277","1951","3068"
"1278","1970","3069"
"1279","1993","3073"
"1280","1973","3076"
"1281","1962","3077"
"1282","1989","3079"
"1283","2017","3082"
"1284","2017","3083"
"1285","1982","3084"
"1286","1984","3085"
"1287","1949","3088"
"1288","1931","3089"
"1289","1933","3092"
"1290","1978","3097"
"1291","1993","3105"
"1292","1993","3106"
"1293","1938","3108"
"1294","1954","3114"
"1295","1989","3115"
"1296","1989","3116"
"1297","1931","3119"
"1298","1946","3120"
"1299","1989","3121"
"1300","0","3122"
"1301","1998","3124"
"1302","1950","3125"
"1303","1931","3131"
"1304","1961","3141"
"1305","1971","3146"
"1306","1981","3147"
"1307","1979","3148"
"1308","2013","3149"
"1309","2013","3156"
"1310","1996","3160"
"1311","1999","3163"
"1312","2007","3166"
"1313","1937","3170"
"1314","1975","3173"
"1315","1976","3176"
"1316","2013","3179"
"1317","1944","3183"
"1318","1989","3186"
"1319","1998","3187"
"1320","1972","3189"
"1321","1949","3191"
"1322","1989","3196"
"1323","1963","3197"
"1324","1959","3198"
"1325","2004","3200"
"1326","1965","3201"
"1327","0","3204"
"1328","1990","3217"
"1329","2009","3218"
"1330","1969","3219"
"1331","1996","3226"
"1332","2017","3228"
"1333","2006","3231"
"1334","2013","3241"
"1335","1960","3248"
"1336","1962","3254"
"1337","1989","3261"
"1338","1989","3265"
"1339","0","3267"
"1340","0","3271"
"1341","2009","3272"
"1342","1921","3276"
"1343","1922","3277"
"1344","1924","3278"
"1345","1982","3279"
"1346","1975","3281"
"1347","1967","3282"
"1348","1997","3284"
"1349","2003","3311"
"1350","2014","3313"
"1351","2002","3314"
"1352","1955","3320"
"1353","1982","3321"
"1354","1989","3322"
"1355","1947","3324"
"1356","1965","3329"
"1357","1993","3331"
"1358","0","3332"
"1359","2013","3334"
"1360","1977","3337"
"1361","1976","3339"
"1362","1960","3340"
"1363","1967","3346"
"1364","1957","3347"
"1365","1980","3350"
"1366","1989","3352"
"1367","1977","3356"
"1368","2005","3358"
"1369","1969","3359"
"1370","1989","3364"
"1371","1989","3365"
"1372","1956","3368"
"1373","2009","3371"
"1374","1951","3373"
"1375","1949","3374"
"1376","1956","3378"
"1377","1989","3379"
"1378","1989","3380"
"1379","1989","3381"
"1380","1989","3382"
"1381","2015","3385"
"1382","1993","3395"
"1383","1998","3396"
"1384","1998","3398"
"1385","1989","3400"
"1386","1989","3401"
"1387","1989","3402"
"1388","1989","3403"
"1389","1999","3405"
"1390","1989","3421"
"1391","0","3422"
"1392","1989","3423"
"1393","1989","3424"
"1394","1989","3438"
"1395","1978","3439"
"1396","1991","3440"
"1397","1989","3452"
"1398","1969","3455"
"1399","1973","3459"
"1400","1955","3474"
"1401","2007","3490"
"1402","2007","3492"
"1403","1989","3493"
"1404","1943","3495"
"1405","1989","3513"
"1406","0","3515"
"1407","2016","3523"
"1408","2007","3524"
"1409","1962","3529"
"1410","2015","3530"
"1411","1989","3531"
"1412","1998","3532"
