"id","genreID","filmID"
"354","17","354"
"355","24","355"
"356","4","356"
"357","9","357"
"358","9","358"
"359","9","359"
"360","9","360"
"361","9","361"
"362","11","362"
"363","20","363"
"364","11","364"
"365","11","365"
"366","6","366"
"367","11","367"
"368","7","368"
"369","7","369"
"370","7","370"
"371","11","371"
"372","8","372"
"373","4","373"
"374","11","374"
"375","9","375"
"376","19","376"
"377","28","377"
"378","12","378"
"379","7","379"
"380","11","380"
"381","8","381"
"382","24","382"
"383","24","383"
"384","7","384"
"385","7","385"
"386","11","386"
"387","8","387"
"388","10","388"
"389","7","389"
"390","9","390"
"391","9","391"
"392","17","392"
"393","11","393"
"394","6","394"
"395","12","395"
"396","4","396"
"397","7","397"
"398","7","398"
"399","11","399"
"400","11","400"
"401","11","401"
"402","11","402"
"403","24","403"
"404","11","404"
"405","24","405"
"406","6","406"
"407","4","407"
"408","11","408"
"409","5","409"
"410","24","410"
"411","22","411"
"412","11","412"
"413","10","413"
"414","11","414"
"415","5","415"
"416","11","416"
"417","6","417"
"418","3","418"
"419","24","419"
"420","11","420"
"421","6","421"
"422","24","422"
"423","4","423"
"424","12","424"
"425","4","425"
"426","7","426"
"427","17","427"
"428","11","428"
"429","7","429"
"430","8","430"
"431","11","431"
"432","11","432"
"433","11","433"
"434","12","434"
"435","11","435"
"436","6","436"
"437","4","437"
"438","22","438"
"439","8","439"
"440","6","440"
"441","6","441"
"442","28","442"
"443","24","443"
"444","11","444"
"445","7","445"
"446","11","446"
"447","7","447"
"448","9","448"
"449","10","449"
"450","11","450"
"451","9","451"
"452","11","452"
"453","7","453"
"454","18","454"
"455","3","455"
"456","8","456"
"457","5","457"
"458","4","458"
"459","24","459"
"460","8","460"
"461","9","461"
"462","11","462"
"463","7","463"
"464","11","464"
"465","6","465"
"466","11","466"
"467","9","467"
"468","11","468"
"469","27","469"
"470","17","470"
"471","19","471"
"472","10","472"
"473","6","473"
"474","11","474"
"475","10","475"
"476","17","476"
"477","11","477"
"478","22","478"
"479","19","479"
"480","7","480"
"481","7","481"
"482","11","482"
"483","11","483"
"484","11","484"
"485","4","485"
"486","19","486"
"487","11","487"
"488","8","488"
"489","8","489"
"490","14","490"
"491","11","491"
"492","6","492"
"493","3","493"
"494","9","494"
"495","11","495"
"496","6","496"
"497","10","497"
"498","7","498"
"499","11","499"
"500","4","500"
"501","7","501"
"502","6","502"
"503","7","503"
"504","11","504"
"505","19","505"
"506","10","506"
"507","7","507"
"508","6","508"
"509","2","509"
"510","7","510"
"511","8","511"
"512","9","512"
"513","7","513"
"514","7","514"
"515","6","515"
"516","9","516"
"517","4","517"
"518","9","518"
"519","7","519"
"520","1","520"
"521","7","521"
"522","19","522"
"523","13","523"
"524","11","524"
"525","8","525"
"526","12","526"
"527","17","527"
"528","17","528"
"529","11","529"
