"id","note_allocine_publicID","filmID"
"1840","21","2209"
"1841","25","2210"
"1842","29","2211"
"1843","27","2212"
"1844","26","2213"
"1845","20","2214"
"1846","21","2215"
"1847","29","2216"
"1848","27","2217"
"1849","30","2218"
"1850","19","2219"
"1851","23","2220"
"1852","24","2221"
"1853","25","2222"
"1854","30","2223"
"1855","19","2224"
"1856","30","2225"
"1857","29","2226"
"1858","27","2227"
"1859","24","2228"
"1860","19","2230"
"1861","30","2231"
"1862","23","2232"
"1863","27","2233"
"1864","19","2234"
"1865","28","2235"
"1866","16","2236"
"1867","18","2237"
"1868","22","2238"
"1869","19","2239"
"1870","18","2240"
"1871","15","2241"
"1872","18","2242"
"1873","29","2243"
"1874","19","2244"
"1875","22","2245"
"1876","20","2246"
"1877","26","2247"
"1878","30","2248"
"1879","27","2249"
"1880","17","2250"
"1881","19","2251"
"1882","19","2252"
"1883","31","2253"
"1884","26","2254"
"1885","17","2255"
"1886","18","2256"
"1887","20","2257"
"1888","27","2258"
"1889","28","2259"
"1890","19","2260"
"1891","21","2261"
"1892","21","2262"
"1893","24","2263"
"1894","25","2264"
"1895","26","2265"
"1896","29","2266"
"1897","22","2267"
"1898","19","2268"
"1899","23","2269"
"1900","19","2270"
"1901","27","2271"
"1902","19","2272"
"1903","19","2273"
"1904","18","2274"
"1905","22","2275"
"1906","16","2276"
"1907","19","2277"
"1908","23","2278"
"1909","17","2279"
"1910","18","2280"
"1911","17","2281"
"1912","20","2282"
"1913","20","2283"
"1914","27","2284"
"1915","26","2286"
"1916","24","2287"
"1917","31","2288"
"1918","18","2289"
"1919","15","2290"
"1920","24","2291"
"1921","19","2292"
"1922","20","2293"
"1923","31","2294"
"1924","26","2295"
"1925","19","2296"
"1926","21","2297"
"1927","15","2298"
"1928","18","2300"
"1929","20","2301"
"1930","18","2302"
"1931","19","2303"
"1932","22","2304"
"1933","24","2305"
"1934","19","2306"
"1935","19","2307"
"1936","20","2308"
"1937","20","2309"
"1938","19","2311"
"1939","22","2312"
"1940","19","2313"
"1941","22","2314"
"1942","22","2315"
"1943","29","2316"
"1944","19","2317"
"1945","24","2319"
"1946","20","2320"
"1947","17","2321"
"1948","28","2322"
"1949","23","2323"
"1950","21","2325"
"1951","28","2326"
"1952","29","2327"
"1953","24","2328"
"1954","19","2329"
"1955","19","2331"
"1956","30","2332"
"1957","20","2333"
"1958","22","2334"
"1959","21","2335"
"1960","28","2336"
"1961","24","2337"
"1962","12","2338"
"1963","20","2339"
"1964","22","2340"
"1965","21","2341"
"1966","27","2342"
"1967","32","2343"
"1968","30","2344"
"1969","18","2347"
"1970","23","2348"
"1971","20","2350"
"1972","24","2351"
"1973","23","2353"
"1974","27","2354"
"1975","29","2355"
"1976","17","2356"
"1977","18","2357"
"1978","21","2360"
"1979","30","2361"
"1980","21","2362"
"1981","31","2363"
"1982","27","2364"
"1983","20","2367"
"1984","20","2368"
"1985","20","2369"
"1986","16","2371"
"1987","23","2373"
"1988","13","2375"
"1989","16","2376"
"1990","22","2377"
"1991","18","2379"
"1992","19","2380"
"1993","20","2382"
"1994","18","2383"
"1995","18","2384"
"1996","19","2385"
"1997","18","2386"
"1998","15","2387"
"1999","27","2388"
"2000","26","2389"
"2001","21","2390"
"2002","19","2391"
"2003","19","2392"
"2004","20","2393"
"2005","19","2395"
"2006","18","2396"
"2007","28","2397"
"2008","20","2398"
"2009","17","2399"
"2010","23","2400"
"2011","20","2401"
"2012","25","2402"
"2013","19","2403"
"2014","20","2404"
"2015","19","2405"
"2016","19","2406"
"2017","19","2407"
"2018","21","2409"
"2019","18","2411"
"2020","22","2412"
"2021","21","2413"
"2022","17","2415"
"2023","22","2416"
"2024","18","2418"
"2025","16","2420"
"2026","25","2421"
"2027","18","2425"
"2028","20","2426"
"2029","20","2427"
"2030","19","2428"
"2031","23","2429"
"2032","17","2430"
"2033","21","2431"
"2034","22","2432"
"2035","30","2433"
"2036","20","2434"
"2037","18","2435"
"2038","27","2436"
"2039","19","2437"
"2040","20","2438"
"2041","22","2439"
"2042","19","2440"
"2043","21","2441"
"2044","20","2442"
"2045","19","2443"
"2046","23","2444"
"2047","21","2445"
"2048","22","2447"
"2049","21","2449"
"2050","23","2451"
"2051","20","2452"
"2052","16","2453"
"2053","20","2454"
"2054","19","2455"
"2055","18","2456"
"2056","19","2458"
"2057","20","2459"
"2058","28","2460"
"2059","19","2461"
"2060","18","2462"
"2061","21","2463"
"2062","19","2464"
"2063","25","2465"
"2064","20","2466"
"2065","21","2467"
"2066","21","2469"
"2067","18","2470"
"2068","20","2472"
"2069","20","2473"
"2070","18","2474"
"2071","21","2476"
"2072","23","2477"
"2073","23","2483"
"2074","18","2484"
"2075","23","2485"
"2076","19","2486"
"2077","21","2487"
"2078","22","2489"
"2079","27","2490"
"2080","22","2493"
"2081","19","2494"
"2082","25","2495"
"2083","18","2496"
"2084","20","2497"
"2085","21","2498"
"2086","19","2499"
"2087","27","2500"
"2088","19","2502"
"2089","19","2503"
"2090","19","2504"
"2091","14","2506"
"2092","20","2507"
"2093","20","2508"
"2094","16","2509"
"2095","23","2510"
"2096","19","2511"
"2097","19","2512"
"2098","25","2513"
"2099","21","2514"
"2100","22","2515"
"2101","26","2516"
"2102","24","2517"
"2103","19","2518"
"2104","14","2519"
"2105","18","2520"
"2106","22","2523"
"2107","25","2524"
"2108","24","2525"
"2109","19","2526"
"2110","22","2527"
"2111","16","2528"
"2112","26","2529"
"2113","22","2530"
"2114","19","2531"
"2115","19","2533"
"2116","18","2534"
"2117","19","2535"
"2118","19","2536"
"2119","17","2537"
"2120","22","2538"
"2121","17","2539"
"2122","18","2541"
"2123","20","2542"
"2124","20","2543"
"2125","23","2544"
"2126","27","2546"
"2127","20","2547"
"2128","20","2548"
"2129","23","2549"
"2130","25","2550"
"2131","20","2551"
"2132","20","2552"
"2133","19","2553"
"2134","19","2555"
"2135","19","2557"
"2136","21","2558"
"2137","21","2559"
"2138","23","2560"
"2139","25","2561"
"2140","18","2562"
"2141","20","2563"
"2142","26","2564"
"2143","16","2565"
"2144","23","2566"
"2145","18","2567"
"2146","31","2568"
"2147","17","2569"
"2148","22","2570"
"2149","21","2573"
"2150","21","2574"
"2151","24","2575"
"2152","21","2577"
"2153","27","2578"
"2154","23","2579"
"2155","19","2580"
"2156","15","2581"
"2157","25","2585"
"2158","21","2586"
"2159","18","2587"
"2160","18","2589"
"2161","21","2591"
"2162","18","2594"
"2163","24","2595"
"2164","20","2596"
"2165","20","2597"
"2166","18","2598"
"2167","23","2599"
"2168","26","2600"
"2169","22","2601"
"2170","21","2603"
"2171","29","2605"
"2172","34","2606"
"2173","29","2608"
"2174","22","2609"
"2175","18","2610"
"2176","23","2611"
"2177","22","2612"
"2178","22","2613"
"2179","22","2614"
"2180","21","2615"
"2181","23","2616"
"2182","27","2617"
"2183","28","2618"
"2184","29","2619"
"2185","24","2620"
"2186","28","2621"
"2187","27","2622"
"2188","27","2624"
"2189","19","2625"
"2190","24","2626"
"2191","16","2627"
"2192","19","2629"
"2193","18","2630"
"2194","25","2632"
"2195","26","2633"
"2196","18","2634"
"2197","20","2635"
"2198","20","2637"
"2199","26","2638"
"2200","22","2646"
"2201","25","2647"
"2202","20","2648"
"2203","19","2649"
"2204","20","2650"
"2205","26","2652"
"2206","17","2653"
"2207","25","2654"
"2208","20","2655"
"2209","18","2656"
"2210","18","2657"
"2211","19","2659"
"2212","19","2661"
"2213","24","2663"
"2214","31","2664"
"2215","26","2665"
"2216","24","2666"
"2217","23","2668"
"2218","20","2669"
"2219","19","2670"
"2220","22","2671"
"2221","26","2672"
"2222","19","2673"
"2223","17","2674"
"2224","20","2678"
"2225","19","2679"
"2226","20","2680"
"2227","20","2681"
"2228","24","2683"
"2229","19","2684"
"2230","20","2685"
"2231","19","2687"
"2232","19","2688"
"2233","20","2689"
